name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Alexander Otsuka,Orthodox,,,,,,
Jess Bouscal,Orthodox,,,,,,
Luis Mendoza,Orthodox,,,,,,
Tai Bowden,Orthodox,,,,,,
Jack Nilson,Orthodox,,,,,,
Melton Bowen,Orthodox,,,,,,
Steve Jennum,Orthodox,,,,,,
Kyron Bowen,Orthodox,,,73.0,,,
Collin Huckbody,Orthodox,,,76.0,,,
Brian Bowles,Orthodox,,,70.0,,,
George Roop,Orthodox,,,72.0,,,
Takeya Mizugaki,Orthodox,,,69.0,,,
Damacio Page,Orthodox,,,66.0,,,
Marcos Galvao,Orthodox,,,,,,
Roger Bowling,Orthodox,,,68.0,,,
Abel Trujillo,Orthodox,,,70.0,,,
Tarec Saffiedine,Switch,,,70.0,,,
Brandon Saling,Orthodox,,,,,,
Jerron Peoples,Orthodox,,,,,,
Josh Thornburg,Orthodox,,,,,,
Ashe Bowman,Orthodox,,,,,,
Josh Thomson,Orthodox,,,71.0,,,
Anvar Boynazarov,Orthodox,,,,,,
Erik Silva,Orthodox,,,71.0,,,
Colley Bradford,Orthodox,,,,,,
Trevor Harris,Orthodox,,,,,,
Kyle Bradley,Orthodox,,,71.0,,,
Joe Lauzon,Orthodox,,,71.0,,,
Chris Lytle,Orthodox,,,68.0,,,
Sean Brady,Orthodox,,,72.0,,,
Michael Morales,Orthodox,,,79.0,,,
Belal Muhammad,Orthodox,,,72.0,,,
Michael Chiesa,Southpaw,,,75.0,,,
Christian Aguilera,Switch,,,72.0,,,
Court McGee,Orthodox,,,75.0,,,
Ebenezer Fontes Braga,Orthodox,,,,,,
Akira Shoji,Orthodox,,,,,,
Jeremy Horn,Orthodox,,,74.0,,,
Ramiz Brahimaj,Orthodox,,,72.0,,,
Austin Vanderford,Orthodox,,,74.0,,,
Billy Ray Goff,Switch,,,72.0,,,
Mickey Gall,Switch,,,74.0,,,
Themba Gorimbo,Orthodox,,,77.0,,,
Micheal Gillmore,Orthodox,,,72.0,,,
Sasha Palatnikov,Switch,,,72.0,,,
Max Griffin,Orthodox,,,76.0,,,
Adam Bramhald,Orthodox,,,70.0,,,
Malcolm Wellmaker,Switch,,,71.0,,,
Aaron Riley,Southpaw,,,69.0,,,
Tomasz Drwal,Orthodox,,,76.0,,,
Gerald Harris,Southpaw,,,77.0,,,
Billy Brand,Orthodox,,,65.0,,,
Diego Brandao,Orthodox,,,64.0,,,
Brian Ortega,Switch,,,69.0,,,
Katsunori Kikuno,Orthodox,,,66.0,,,
Conor McGregor,Southpaw,,,74.0,,,
Dustin Poirier,Southpaw,,,72.0,,,
Daniel Pineda,Orthodox,,,69.0,,,
Joey Gambino,Orthodox,,,,,,
Shi Ming,Orthodox,,,60.0,,,
Wang Cong,Southpaw,,,66.0,,,
Loma Lookboonmee,Orthodox,,,61.0,,,
Denise Gomes,Orthodox,,,63.0,,,
Marnic Mann,Southpaw,,,64.0,,,
Michael Bravo,Orthodox,,,,,,
Estevan Payan,Orthodox,,,,,,
Alex Caceres,Southpaw,,,73.0,,,
Mike Breeden,Orthodox,,,70.0,,,
Anshul Jubli,Switch,,,69.0,,,
Natan Levy,Southpaw,,,71.0,,,
Anthony Romero,Orthodox,,,70.0,,,
Brendan Allen,Orthodox,,,75.0,,,
Daniel Kelly,Southpaw,,,70.0,,,
Keita Nakamura,Southpaw,,,73.0,,,
Cathal Pendred,Orthodox,,,75.0,,,
Luiz Dutra,Orthodox,,,,,,
Elves Brener,Orthodox,,,72.0,,,
Esteban Ribovics,Orthodox,,,69.0,,,
Myktybek Orolbai,Orthodox,,,74.0,,,
Kaynan Kruschewsky,Orthodox,,,73.0,,,
Guram Kutateladze,Orthodox,,,72.0,,,
Zubaira Tukhugov,Orthodox,,,68.0,,,
Chris Brennan,Orthodox,,,,,,
Daiju Takase,Southpaw,,,,,,
Eiji Mitsuoka,Southpaw,,,,,,
Gil Castillo,Southpaw,,,,,,
Pat Miletich,Orthodox,,,,,,
Courtney Turner,Orthodox,,,,,,
Charlie Brenneman,Orthodox,,,70.0,,,
Leandro Silva,Orthodox,,,72.0,,,
Kyle Noke,Southpaw,,,76.0,,,
Erick Silva,Orthodox,,,74.0,,,
Rick Story,Southpaw,,,71.0,,,
Amilcar Alves,Southpaw,,,,,,
Jason High,Southpaw,,,73.0,,,
Robert Breslin,Orthodox,,,,,,
Poppies Martinez,Orthodox,,,,,,
Andrew Martinez,Orthodox,,,,,,
Mack Brewer,Orthodox,,,,,,
Marcos Brigagao,Southpaw,,,76.0,,,
Jamal Pogues,Orthodox,,,77.0,,,
Eliot Marshall,Orthodox,,,77.0,,,
Brad Morris,Orthodox,,,,,,
Jimmie Rivera,Orthodox,,,68.0,,,
Jumabieke Tuerxun,Orthodox,,,,,,
Valentijn Overeem,Orthodox,,,,,,
Henry Briones,Orthodox,,,69.0,,,
Frankie Saenz,Orthodox,,,66.0,,,
Marcelo Brito,Orthodox,,,,,,
Joanderson Brito,Orthodox,,,72.0,,,
Isaac Thomson,,,,,,,
Pat Sabatini,Orthodox,,,70.0,,,
William Gomis,Southpaw,,,73.0,,,
Jonathan Pearce,Switch,,,71.0,,,
Westin Wilson,Southpaw,,,73.0,,,
Lucas Alexander,Orthodox,,,73.0,,,
Bill Algeo,Switch,,,73.0,,,
Diego Lopes,Orthodox,,,72.0,,,
Kaik Brito,Orthodox,,,72.0,,,
Oban Elliott,Orthodox,,,72.0,,,
Antwain Britt,Orthodox,,,77.0,,,
Lumumba Sayers,Orthodox,,,,,,
Scott Lighty,Orthodox,,,,,,
Mike Bronzoulis,Orthodox,,,,,,
Chad Leonhardt,Orthodox,,,,,,
Jonathan Brookins,Southpaw,,,74.0,,,
Charles Oliveira,Orthodox,,,74.0,,,
Will Brooks,Orthodox,,,72.0,,,
Alex Oliveira,Orthodox,,,76.0,,,
Satoru Kitaoka,Orthodox,,,,,,
Jarred Brooks,Switch,,,62.0,,,
Robert Sanchez,Orthodox,,,66.0,,,
Jose Torres,Orthodox,,,65.0,,,
Eric Shelton,Orthodox,,,68.0,,,
Rob Broughton,Orthodox,,,74.0,,,
Philip De Fries,Orthodox,,,79.0,,,
Vinicius Queiroz,Orthodox,,,,,,
Lee Brousseau,Orthodox,,,,,,
Mike Glenn,Orthodox,,,,,,
Francisco France,Orthodox,,,,,,
Dhiego Lima,Orthodox,,,75.0,,,
Carlos Condit,Orthodox,,,75.0,,,
Tim Means,Orthodox,,,75.0,,,
Jordan Mein,Orthodox,,,73.0,,,
Mike Swick,Orthodox,,,77.0,,,
Luis Ramos,Orthodox,,,,,,
Chris Cope,Orthodox,,,72.0,,,
Brian Foster,Orthodox,,,71.0,,,
Ricardo Almeida,Orthodox,,,74.0,,,
James Wilks,Orthodox,,,75.0,,,
Ryan Thomas,Orthodox,,,,,,
Mike Brown,Orthodox,,,70.0,,,
Nam Phan,Orthodox,,,70.0,,,
Cole Province,Orthodox,,,68.0,,,
Manvel Gamburyan,Orthodox,,,67.0,,,
Anthony Morrison,Orthodox,,,,,,
Genki Sudo,Orthodox,,,,,,
Dominic Brown,Orthodox,,,,,,
Lucas Lopes,Orthodox,,,,,,
Terrell Brown,Orthodox,,,,,,
Chris Brown,Orthodox,,,,,,
Herman Terrado,Orthodox,,,,,,
Elizeu Zaleski dos Santos,Orthodox,,,73.0,,,
Muslim Salikhov,Orthodox,,,70.0,,,
Wellington Turman,Orthodox,,,72.0,,,
Jack Della Maddalena,Switch,,,73.0,,,
Jared Gooden,Orthodox,,,77.0,,,
Niko Price,Orthodox,,,76.0,,,
Brian Camozzi,Orthodox,,,78.0,,,
Erick Montano,Orthodox,,,73.0,,,
Michael Graves,Orthodox,,,71.0,,,
Matt Dwyer,Orthodox,,,76.0,,,
Dong Hyun Ma,Orthodox,,,70.0,,,
Frank Camacho,Orthodox,,,73.0,,,
Alan Patrick,Southpaw,,,74.0,,,
TJ Brown,Switch,,,72.0,,,
Shayilan Nuerdanbieke,Orthodox,,,69.0,,,
Kai Kamaka,Orthodox,,,69.0,,,
Danny Chavez,Orthodox,,,67.0,,,
Jordan Griffin,Southpaw,,,73.0,,,
Dylan Lockard,Orthodox,,,72.0,,,
Cain Velasquez,Orthodox,,,77.0,,,
Gabriel Gonzaga,Orthodox,,,76.0,,,
Chad Griggs,Orthodox,,,73.0,,,
James McSweeney,Switch,,,77.0,,,
Junie Browning,Orthodox,,,,,,
Cole Miller,Orthodox,,,73.0,,,
David Kaplan,Orthodox,,,,,,
Jules Bruchez,Southpaw,,,,,,
Justin Bruckmann,Orthodox,,,,,,
Georges St-Pierre,Orthodox,,,76.0,,,
Cody Brundage,Orthodox,,,72.0,,,
Eric McConico,Southpaw,,,77.0,,,
Mansur Abdul-Malik,Orthodox,,,80.0,,,
Abdul Razak Alhassan,Orthodox,,,73.0,,,
Jacob Malkoun,Orthodox,,,73.0,,,
Rodolfo Vieira,Orthodox,,,73.0,,,
Nick Maximov,Southpaw,,,76.0,,,
William Knight,Orthodox,,,73.0,,,
Steve Bruno,Orthodox,,,,,,
Johnny Rees,Orthodox,,,,,,
Chris Wilson,Orthodox,,,75.0,,,
Fernando Bruno,Orthodox,,,,,,
Gray Maynard,Orthodox,,,70.0,,,
Derek Brunson,Southpaw,,,77.0,,,
Dricus Du Plessis,Switch,,,76.0,,,
Kevin Holland,Orthodox,,,81.0,,,
Edmen Shahbazyan,Orthodox,,,75.0,,,
Ian Heinisch,Orthodox,,,72.0,,,
Elias Theodorou,Orthodox,,,75.0,,,
Israel Adesanya,Switch,,,80.0,,,
Robert Whittaker,Orthodox,,,73.0,,,
Roan Carneiro,Orthodox,,,76.0,,,
Sam Alvey,Southpaw,,,75.0,,,
Lorenz Larkin,Orthodox,,,72.0,,,
Yoel Romero,Southpaw,,,73.0,,,
Brian Houston,Orthodox,,,,,,
Nate James,Orthodox,,,,,,
Jeremy Hamilton,Orthodox,,,,,,
Josh Bryant,Orthodox,,,,,,
Dennis Bryant,Orthodox,,,,,,
Robert Bryczek,Orthodox,,,75.0,,,
Lukasz Brzeski,Orthodox,,,78.0,,,
Ryan Spann,Orthodox,,,79.0,,,
Mick Parkin,Orthodox,,,79.0,,,
Valter Walker,Orthodox,,,78.0,,,
Karl Williams,Orthodox,,,79.0,,,
Dylan Potter,Switch,,,77.0,,,
Marcus Buchecha,Orthodox,,,77.0,,,
Justin Buchholz,Orthodox,,,73.0,,,
Corey Hill,Orthodox,,,80.0,,,
Matt Wiman,Orthodox,,,68.0,,,
Zak Bucia,Orthodox,,,,,,
James Terry,Orthodox,,,,,,
Adam Steele,Orthodox,,,,,,
Courtney Buck,Orthodox,,,,,,
Fredson Paixao,Orthodox,,,66.0,,,
Brandon Visher,Orthodox,,,68.0,,,
Kamaru Usman,Switch,,,76.0,,,
Nursulton Ruziboev,Orthodox,,,76.0,,,
Alex Morono,Orthodox,,,72.0,,,
Impa Kasanganay,Orthodox,,,75.0,,,
Uran Satybaldiev,Orthodox,,,79.0,,,
Shamil Gaziev,Orthodox,,,78.0,,,
Lorenzo Hood,Southpaw,,,80.0,,,
Julia Budd,Orthodox,,,67.0,,,
Ronda Rousey,Orthodox,,,66.0,,,
Germaine de Randamie,Orthodox,,,71.0,,,
Shana Olsen,Orthodox,,,,,,
Dylan Budka,Switch,,,75.0,,,
Andre Petroski,Switch,,,73.0,,,
Cesar Almeida,Orthodox,,,74.0,,,
Chad Hanekom,Orthodox,,,74.0,,,
Mike Budnik,Orthodox,,,68.0,,,
Rafael Dias,Orthodox,,,,,,
John Franchi,Orthodox,,,67.0,,,
Shane Roller,Orthodox,,,72.0,,,
Greg McIntyre,Orthodox,,,,,,
Francisco Bueno,Orthodox,,,,,,
Satoshi Honma,Orthodox,,,,,,
Mayra Bueno Silva,Orthodox,,,66.0,,,
Jasmine Jasudavicius,Orthodox,,,68.0,,,
Macy Chiasson,Orthodox,,,72.0,,,
Holly Holm,Southpaw,,,69.0,,,
Lina Lansberg,Orthodox,,,65.0,,,
Stephanie Egger,Orthodox,,,68.0,,,
Wu Yanan,Orthodox,,,66.0,,,
Mara Romero Borella,Orthodox,,,69.0,,,
Maryna Moroz,Orthodox,,,67.0,,,
Mayana Kellem,Orthodox,,,,,,
Paul Buentello,Orthodox,,,77.0,,,
Kiril Sidelnikov,Orthodox,,,,,,
Carter Williams,Orthodox,,,,,,
Ruben Villareal,Orthodox,,,,,,
Gilbert Aldana,Orthodox,,,,,,
Kevin Jordan,Orthodox,,,,,,
Justin Eilers,Orthodox,,,,,,
Marek Bujlo,Orthodox,,,,,,
Denzel Freeman,Orthodox,,,,,,
Modestas Bukauskas,Switch,,,76.0,,,
Zac Pauga,Orthodox,,,76.0,,,
Tyson Pedro,Orthodox,,,79.0,,,
Khalil Rountree Jr.,Southpaw,,,76.0,,,
Lee Kwan Bum,Orthodox,,,,,,
Josh Bumgarner,Orthodox,,,,,,
Jesse Finney,Orthodox,,,,,,
Felipe Bunes,Orthodox,,,69.0,,,
Rafael Estevam,Orthodox,,,69.0,,,
Charles Jourdain,Switch,,,69.0,,,
Cub Swanson,Orthodox,,,70.0,,,
Calvin Kattar,Orthodox,,,72.0,,,
Joshua Burkman,Orthodox,,,72.0,,,
Michel Prazeres,Orthodox,,,67.0,,,
Zak Ottow,Orthodox,,,72.0,,,
Forrest Petz,Orthodox,,,71.0,,,
Karo Parisyan,Orthodox,,,72.0,,,
Chad Reiner,Orthodox,,,,,,
Josh Neer,Orthodox,,,72.0,,,
Jon Fitch,Orthodox,,,74.0,,,
Drew Fickett,Orthodox,,,70.0,,,
Sammy Morgan,Orthodox,,,,,,
Justin Burlinson,Switch,,,74.0,,,
Yohan Lainesse,Orthodox,,,76.0,,,
Mads Burnell,Orthodox,,,69.0,,,
Arnold Allen,Southpaw,,,70.0,,,
Mike Santiago,Orthodox,,,69.0,,,
Mikey Burnett,Orthodox,,,,,,
Townsend Saunders,Orthodox,,,,,,
Eugenio Tadeu,Orthodox,,,,,,
Kevin Burns,Orthodox,,,74.0,,,
TJ Grant,Orthodox,,,72.0,,,
Khamzat Chimaev,Orthodox,,,75.0,,,
Aleksei Kunchenko,Orthodox,,,70.0,,,
Dan Moret,Southpaw,,,73.0,,,
Jason Saggo,Orthodox,,,71.0,,,
Lukasz Sajewski,Orthodox,,,71.0,,,
Rashid Magomedov,Orthodox,,,70.0,,,
Andreas Stahl,Orthodox,,,,,,
Jack Jenkins,Switch,,,68.0,,,
Nate Landwehr,Orthodox,,,72.0,,,
Darrick Minner,Orthodox,,,69.0,,,
Derrick Burnsed,Orthodox,,,,,,
Bobby Stack,Orthodox,,,,,,
Nah-Shon Burrell,Orthodox,,,,,,
Yuri Villefort,Orthodox,,,73.0,,,
Chris Spang,Orthodox,,,,,,
Lukasz Les,Orthodox,,,,,,
Joe Ray,Orthodox,,,,,,
George Bush,Orthodox,,,,,,
Abongo Humphrey,Orthodox,,,,,,
Bubba Bush,Orthodox,,,,,,
Garreth McLellan,Southpaw,,,72.0,,,
Kevin Casey,Southpaw,,,77.0,,,
Austin Hubbard,Orthodox,,,71.0,,,
Makoto Takimoto,Southpaw,,,,,,
Dong Sik Yoon,Orthodox,,,,,,
Masanori Suda,Orthodox,,,,,,
Ryuta Sakurai,Orthodox,,,,,,
Todd Butler,Southpaw,,,,,,
Goldman Butler,Orthodox,,,,,,
Wes Shivers,Orthodox,,,,,,
Jesse Butler,Orthodox,,,73.0,,,
JP Buys,Orthodox,,,67.0,,,
Jacob Silva,Orthodox,,,67.0,,,
Joby Sanchez,Orthodox,,,68.0,,,
Francis Marshall,Orthodox,,,72.0,,,
Connor Matthews,Switch,,,71.0,,,
Kaleio Romero,Switch,,,69.0,,,
Charles Byrd,Orthodox,,,73.0,,,
Maki Pitolo,Orthodox,,,75.0,,,
John Phillips,Southpaw,,,75.0,,,
Randall Wallace,Orthodox,,,73.0,,,
Jamie Pickett,Orthodox,,,80.0,,,
Steve Byrnes,Orthodox,,,,,,
Michael Byrnes,Orthodox,,,,,,
Dave Zitanick,Orthodox,,,,,,
Yan Cabral,Orthodox,,,73.0,,,
Reza Madadi,Orthodox,,,73.0,,,
Johnny Case,Orthodox,,,72.0,,,
Zak Cummings,Southpaw,,,75.0,,,
David Mitchell,Orthodox,,,75.0,,,
Alvin Cacdac,Orthodox,,,,,,
Jose Palacios,Orthodox,,,,,,
Evan Esguerra,Orthodox,,,,,,
Bobby Sanchez,Orthodox,,,,,,
Casey Olson,Orthodox,,,,,,
SeungWoo Choi,Orthodox,,,74.0,,,
Kevin Croom,Orthodox,,,73.0,,,
Austin Springer,Orthodox,,,71.0,,,
Kron Gracie,Southpaw,,,70.0,,,
Wang Guan,Orthodox,,,71.0,,,
Rolando Dy,Orthodox,,,69.0,,,
Yair Rodriguez,Orthodox,,,71.0,,,
Masio Fullen,Orthodox,,,70.0,,,
Francisco Rivera,Orthodox,,,70.0,,,
Masanori Kanehara,Orthodox,,,67.0,,,
Roland Delorme,Orthodox,,,71.0,,,
Kyung Ho Kang,Orthodox,,,73.0,,,
Motonobu Tezuka,Southpaw,,,,,,
Edwin Figueroa,Orthodox,,,69.0,,,
Mackens Semerzier,Orthodox,,,72.0,,,
Vince Cachero,Orthodox,,,68.0,,,
Priscila Cachoeira,Orthodox,,,65.0,,,
Joselyne Edwards,Orthodox,,,70.0,,,
Josiane Nunes,Southpaw,,,67.0,,,
Valentina Shevchenko,Southpaw,,,66.0,,,
Travis Calanoc,Orthodox,,,,,,
Thomas Longacre,Orthodox,,,,,,
Lucas Caldas,Orthodox,,,70.0,,,
Magomed Zaynukov,Orthodox,,,68.0,,,
Carlos Calderon,Southpaw,,,71.0,,,
Alberto Montes,Orthodox,,,69.0,,,
Nicolle Caliari,Orthodox,,,62.0,,,
Carli Judice,Southpaw,,,68.0,,,
Corinne Laframboise,Orthodox,,,65.0,,,
Loopy Godinez,Orthodox,,,61.0,,,
Nina Nunes,Orthodox,,,64.0,,,
Marina Rodriguez,Orthodox,,,65.0,,,
Cortney Casey,Orthodox,,,67.0,,,
Carla Esparza,Orthodox,,,63.0,,,
Joanne Wood,Orthodox,,,65.0,,,
Amanda Cooper,Switch,,,64.0,,,
Joe Camacho,Orthodox,,,,,,
Geoff Neal,Southpaw,,,75.0,,,
Li Jingliang,Orthodox,,,71.0,,,
Lucas Camacho,Orthodox,,,80.0,,,
Mario Pinto,Orthodox,,,79.0,,,
Fabricio Camoes,Orthodox,,,71.0,,,
Melvin Guillard,Orthodox,,,71.0,,,
Torrance Taylor,Orthodox,,,,,,
Chris Camozzi,Orthodox,,,75.0,,,
Tom Watson,Orthodox,,,73.0,,,
Bruno Santos,Orthodox,,,,,,
Luiz Cane,Southpaw,,,77.0,,,
Nick Catone,Southpaw,,,72.0,,,
Dustin Jacoby,Orthodox,,,76.0,,,
Francis Carmont,Orthodox,,,78.0,,,
Dongi Yang,Southpaw,,,73.0,,,
James Hammortree,Orthodox,,,,,,
Mike Campbell,Southpaw,,,,,,
Danillo Villefort,Orthodox,,,,,,
Thomas Campbell,Orthodox,,,,,,
Jeremy Wallace,Orthodox,,,,,,
Cody Floyd,Orthodox,,,,,,
Shane Campbell,Orthodox,,,71.0,,,
Felipe Silva,Orthodox,,,77.0,,,
James Krause,Orthodox,,,73.0,,,
Elias Silverio,Orthodox,,,73.0,,,
Charlie Campbell,Orthodox,,,72.0,,,
Alex Reyes,Orthodox,,,73.0,,,
Kitt Campbell,Orthodox,,,73.0,,,
YunSeong Jang,Orthodox,,,72.0,,,
Shogo Sato,Southpaw,,,66.0,,,
Kurtis Campbell,Switch,,,72.0,,,
Demba Seck,Orthodox,,,74.0,,,
John Campetella,Orthodox,,,,,,
Wagner Campos,Southpaw,,,,,,
Will Campuzano,Orthodox,,,70.0,,,
Nick Pace,Orthodox,,,68.0,,,
Coty Wheeler,Orthodox,,,67.0,,,
Nicolae Negumereanu,Orthodox,,,78.0,,,
Fabio Cherant,Southpaw,,,74.0,,,
Chico Camus,Orthodox,,,66.0,,,
Chris Holdsworth,Orthodox,,,,,,
Yaotzin Meza,Orthodox,,,71.0,,,
Dustin Kimura,Orthodox,,,71.0,,,
Dustin Pague,Orthodox,,,74.0,,,
Carlos Candelario,Southpaw,,,68.0,,,
Jake Hadley,Southpaw,,,70.0,,,
Tatsuro Taira,Orthodox,,,70.0,,,
Ronaldo Candido,Southpaw,,,,,,
Stanislav Nedkov,Orthodox,,,71.0,,,
Cyrille Diabate,Southpaw,,,81.0,,,
Steve Cantwell,Orthodox,,,75.0,,,
Jason Lambert,Orthodox,,,75.0,,,
Randy Costa,Switch,,,73.0,,,
Kris Moutinho,Southpaw,,,68.0,,,
Mana Martinez,Orthodox,,,70.0,,,
Batgerel Danaa,Orthodox,,,70.0,,,
Diego Rivas,Orthodox,,,69.0,,,
Hugo Viana,Orthodox,,,67.0,,,
Michael Page,Switch,,,79.0,,,
Gregory Rodrigues,Orthodox,,,75.0,,,
Marvin Vettori,Southpaw,,,74.0,,,
Dominick Reyes,Southpaw,,,77.0,,,
Nick Roehrick,Orthodox,,,,,,
Jose Canseco,Orthodox,,,,,,
Hong Man Choi,Orthodox,,,,,,
Cody Canterbury,Orthodox,,,,,,
Ben Holscher,Orthodox,,,,,,
Bo Cantrell,Orthodox,,,,,,
Kevin Ferguson,Orthodox,,,77.0,,,
Riki Fukuda,Southpaw,,,73.0,,,
Mike Massenzio,Southpaw,,,73.0,,,
Razak Al-Hassan,Orthodox,,,,,,
Tim McKenzie,Orthodox,,,74.0,,,
Justin McElfresh,Orthodox,,,,,,
Phil Caracappa,Orthodox,,,70.0,,,
Ricky Steele,Orthodox,,,74.0,,,
Frank Caracci,Orthodox,,,,,,
Laverne Clark,Orthodox,,,,,,
Gina Carano,Orthodox,,,,,,
Kelly Kobold,Orthodox,,,,,,
Kaitlin Young,Orthodox,,,,,,
Tonya Evinger,Orthodox,,,70.0,,,
Julie Kedzie,Orthodox,,,,,,
Elaina Maxwell,Orthodox,,,,,,
Rosi Sexton,Orthodox,,,,,,
Leiticia Pestova,Orthodox,,,,,,
Dos Caras Jr.,Orthodox,,,,,,
Dustin Neace,Orthodox,,,69.0,,,
Mark Hominick,Orthodox,,,68.0,,,
Alex Zuniga,Orthodox,,,,,,
Phil Cardella,Orthodox,,,,,,
Ed Ratcliff,Orthodox,,,71.0,,,
Edgar Cardenas,Orthodox,,,,,,
Rolando Perez,Orthodox,,,,,,
Iliarde Santos,Orthodox,,,67.0,,,
Josh Ferguson,Orthodox,,,,,,
Michael McDonald,Orthodox,,,70.0,,,
Rafael Rebello,Orthodox,,,67.0,,,
Andrew Valladerez,Orthodox,,,,,,
Rafael Carino,Orthodox,,,,,,
Matt Andersen,Southpaw,,,,,,
Don Carlo-Clauss,Orthodox,,,,,,
Sam Oropeza,Orthodox,,,,,,
Jack Marshman,Orthodox,,,73.0,,,
Eric Spicely,Orthodox,,,73.0,,,
Leonardo Guimaraes,Orthodox,,,,,,
Eddie Gordon,Orthodox,,,76.0,,,
Spike Carlyle,Switch,,,71.0,,,
Aalon Cruz,Switch,,,78.0,,,
Tom Lawlor,Southpaw,,,74.0,,,
Karlos Vemola,Orthodox,,,75.0,,,
Liz Carmouche,Orthodox,,,66.0,,,
Lucie Pudilova,Orthodox,,,67.0,,,
Lauren Murphy,Orthodox,,,67.0,,,
Jan Finney,Orthodox,,,,,,
Colleen Schneider,Orthodox,,,,,,
Ryan LaFlare,Southpaw,,,74.0,,,
Kenny Robertson,Orthodox,,,74.0,,,
Ariane Carnelossi,Orthodox,,,61.0,,,
Talita Alencar,Orthodox,,,58.0,,,
Piera Rodriguez,Orthodox,,,63.0,,,
Istela Nunes,Orthodox,,,66.0,,,
Liang Na,Orthodox,,,67.0,,,
Angela Hill,Orthodox,,,64.0,,,
Michelle Montague,Southpaw,,,68.0,,,
Ivana Petrovic,Southpaw,,,70.0,,,
Mabelly Lima,Orthodox,,,,,,
Tim Caron,Orthodox,,,,,,
Jordan Williams,Southpaw,,,75.0,,,
Clayton Carpenter,Orthodox,,,66.0,,,
Tagir Ulanbekov,Southpaw,,,70.0,,,
Juancamilo Ronderos,Southpaw,,,64.0,,,
Edgar Chairez,Orthodox,,,71.0,,,
Cain Carrizosa,Orthodox,,,,,,
Leonardo Mafra,Orthodox,,,70.0,,,
Jonny Carson,Orthodox,,,,,,
Kenny Giddens,Orthodox,,,,,,
Scott Carson,Orthodox,,,,,,
Herschel Walker,Orthodox,,,,,,
Shonie Carter,Southpaw,,,,,,
Marcus Davis,Southpaw,,,70.0,,,
Nate Quarry,Open Stance,,,72.0,,,
Matt Serra,Orthodox,,,68.0,,,
Adrian Serrano,Orthodox,,,,,,
Brad Gumm,Orthodox,,,,,,
Jack Cartwright,Orthodox,,,68.0,,,
Bruno Carvalho,Orthodox,,,,,,
Rodrigo Damm,Orthodox,,,71.0,,,
Shane Carwin,Orthodox,,,80.0,,,
Neil Wain,Orthodox,,,,,,
Christian Wellisch,Orthodox,,,77.0,,,
Carlton Jones,Orthodox,,,,,,
Francisco Trevino,Orthodox,,,70.0,,,
Frankie Perez,Orthodox,,,73.0,,,
Kazuki Tokudome,Southpaw,,,73.0,,,
Chad Vance,Orthodox,,,,,,
Antonina Shevchenko,Southpaw,,,67.0,,,
Michelle Waterson-Gomez,Orthodox,,,62.0,,,
Felice Herrig,Orthodox,,,65.0,,,
Jessica Aguilar,Orthodox,,,63.0,,,
Claudia Gadelha,Orthodox,,,63.0,,,
Randa Markos,Orthodox,,,63.0,,,
Cristina Stanciu,Orthodox,,,,,,
Seo Hee Ham,Southpaw,,,62.0,,,
Brandon Cash,Orthodox,,,,,,
John Devine,Orthodox,,,,,,
Bendy Casimir,Southpaw,,,,,,
Dwayne Cason,Orthodox,,,,,,
Houston Dorr,Orthodox,,,,,,
Joe Cason,Orthodox,,,,,,
John Castaneda,Switch,,,71.0,,,
Nathaniel Wood,Orthodox,,,69.0,,,
Cheyden Leialoha,Orthodox,,,73.0,,,
Eric Castile,Orthodox,,,,,,
Matt Pedro,Orthodox,,,,,,
Paul Sass,Orthodox,,,73.0,,,
John Cholish,Orthodox,,,74.0,,,
Jacob Volkmann,Southpaw,,,71.0,,,
Will Kerr,Orthodox,,,69.0,,,
Raul Castillo,Orthodox,,,,,,
Yancy Medeiros,Orthodox,,,75.0,,,
Brandon Michaels,Orthodox,,,,,,
Andrew Montanez,Orthodox,,,,,,
Jenna Castillo,Orthodox,,,,,,
Charlene Gellner,Orthodox,,,,,,
Tim Catalfo,Orthodox,,,,,,
Tom Erikson,Orthodox,,,,,,
TJ Waldburger,Orthodox,,,75.0,,,
Tim Credeur,Orthodox,,,75.0,,,
Derek Downey,Orthodox,,,,,,
Billy Evangelista,Orthodox,,,68.0,,,
Nate Mohr,Orthodox,,,72.0,,,
Isaac Vallie-Flagg,Orthodox,,,70.0,,,
Thiago Silva,Orthodox,,,74.0,,,
Mike Kyle,Orthodox,,,77.0,,,
Travis Galbraith,Orthodox,,,,,,
Wayne Cole,Orthodox,,,,,,
John Doyle,Orthodox,,,,,,
Nora Cornolle,Orthodox,,,67.0,,,
Zarah Fairn,Orthodox,,,72.0,,,
Igor Cavalcanti,Orthodox,,,79.0,,,
Seokhyeon Ko,Southpaw,,,71.0,,,
Jared Hamman,Orthodox,,,75.0,,,
Yosdenis Cedeno,Orthodox,,,69.0,,,
Cody Pfister,Orthodox,,,73.0,,,
Ernest Chavez,Orthodox,,,70.0,,,
Merab Dvalishvili,Orthodox,,,68.0,,,
Wilson Reis,Southpaw,,,65.0,,,
Adam Cella,Orthodox,,,,,,
Tor Troeng,Orthodox,,,,,,
Vinicius Cenci,Orthodox,,,74.0,,,
Abdul Rakhman Yakhyaev,Orthodox,,,78.0,,,
Julius Walker,Orthodox,,,78.0,,,
