name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
David Branch,Orthodox,,,78.0,,,
Rafael Natal,Orthodox,,,77.0,,,
Jamie Yager,Orthodox,,,,,,
Olivier Aubin-Mercier,Southpaw,,,70.0,,,
Arman Tsarukyan,Orthodox,,,72.0,,,
Gilbert Burns,Orthodox,,,71.0,,,
Alexander Hernandez,Orthodox,,,72.0,,,
Evan Dunham,Southpaw,,,70.0,,,
Anthony Rocco Martin,Orthodox,,,73.0,,,
Drew Dober,Southpaw,,,70.0,,,
Thibault Gouti,Orthodox,,,72.0,,,
Diego Ferreira,Orthodox,,,74.0,,,
Tony Sims,Southpaw,,,70.0,,,
David Michaud,Orthodox,,,,,,
Jake Lindsey,Switch,,,,,,
Pat Audinwood,Orthodox,,,,,,
John Makdessi,Orthodox,,,68.0,,,
Thiago Tavares,Orthodox,,,70.0,,,
Hermes Franca,Orthodox,,,71.0,,,
Tyson Griffin,Orthodox,,,68.0,,,
Ryan Roberts,Orthodox,,,,,,
Luke Caudillo,Orthodox,,,,,,
Clay Guida,Orthodox,,,70.0,,,
Mitsuhiro Ishida,Southpaw,,,,,,
Takanori Gomi,Southpaw,,,70.0,,,
Daisuke Nakamura,Orthodox,,,,,,
Dokonjonosuke Mishima,Southpaw,,,,,,
David Avellan,Orthodox,,,,,,
Aaron Simpson,Orthodox,,,73.0,,,
Blas Avena,Orthodox,,,74.0,,,
Jesse Lennox,Orthodox,,,72.0,,,
Dave Terrel,Southpaw,,,,,,
Hiromitsu Miura,Orthodox,,,71.0,,,
Joe Benoit,Orthodox,,,,,,
Tiki Ghosn,Orthodox,,,,,,
Logan Clark,Orthodox,,,,,,
Levi Avera,Orthodox,,,,,,
Paul Bradley,Orthodox,,,,,,
Anthony Avila,Orthodox,,,,,,
Rafael Rios,Orthodox,,,,,,
Chris Avila,Orthodox,,,,,,
Enrique Barzola,Orthodox,,,70.0,,,
Artem Lobov,Southpaw,,,65.0,,,
Julia Avila,Orthodox,,,68.0,,,
Jacqueline Cavalcanti,Orthodox,,,70.0,,,
Miesha Tate,Orthodox,,,65.0,,,
Julija Stoliarenko,Orthodox,,,66.0,,,
Sijara Eubanks,Orthodox,,,67.0,,,
Gina Mazany,Southpaw,,,68.0,,,
Pannie Kianzad,Orthodox,,,66.0,,,
Saad Awad,Orthodox,,,,,,
Joe Duarte,Orthodox,,,,,,
Jessin Ayari,Orthodox,,,73.0,,,
Luigi Vendramini,Orthodox,,,73.0,,,
Stevie Ray,Southpaw,,,70.0,,,
Darren Till,Southpaw,,,74.0,,,
Jim Wallhead,Orthodox,,,,,,
Abu Azaitar,Orthodox,,,76.0,,,
Sedriques Dumas,Orthodox,,,79.0,,,
Marc-Andre Barriault,Orthodox,,,74.0,,,
Vitor Miranda,Orthodox,,,77.0,,,
Ottman Azaitar,Switch,,,71.0,,,
Michael Johnson,Southpaw,,,73.0,,,
Francisco Prado,Orthodox,,,69.0,,,
Matt Frevola,Orthodox,,,71.0,,,
Khama Worthy,Orthodox,,,74.0,,,
Teemu Packalen,Orthodox,,,75.0,,,
Luiz Azeredo,Orthodox,,,,,,
Tatsuya Kawajiri,Orthodox,,,69.0,,,
Naoyuki Kotani,Southpaw,,,66.0,,,
Luiz Firmino,Orthodox,,,,,,
Anderson Silva,Southpaw,,,77.0,,,
Luciano Azevedo,Orthodox,,,,,,
Hunter Azure,Orthodox,,,69.0,,,
Jack Shore,Orthodox,,,71.0,,,
Cole Smith,Orthodox,,,67.0,,,
Brian Kelleher,Switch,,,66.0,,,
Christian Ocon,Orthodox,,,69.0,,,
Niklas Backstrom,Orthodox,,,,,,
Noad Lahat,Orthodox,,,69.0,,,
Mike Wilkinson,Orthodox,,,66.0,,,
Tom Niinimaki,Orthodox,,,69.0,,,
Seth Baczynski,Orthodox,,,75.0,,,
Leon Edwards,Southpaw,,,74.0,,,
Alan Jouban,Southpaw,,,73.0,,,
Thiago Alves,Orthodox,,,70.0,,,
Neil Magny,Orthodox,,,80.0,,,
Brian Melancon,Orthodox,,,,,,
Mike Pierce,Orthodox,,,71.0,,,
Simeon Thoresen,Orthodox,,,79.0,,,
Lance Benoist,Southpaw,,,72.0,,,
Clay Harvison,Orthodox,,,74.0,,,
Brad Tavares,Orthodox,,,74.0,,,
Ryan Bader,Orthodox,,,74.0,,,
Rogerio Nogueira,Southpaw,,,75.0,,,
Ilir Latifi,Orthodox,,,73.0,,,
Anthony Johnson,Orthodox,,,78.0,,,
Rashad Evans,Orthodox,,,75.0,,,
Phil Davis,Orthodox,,,79.0,,,
Ovince Saint Preux,Southpaw,,,80.0,,,
Rafael Cavalcante,Orthodox,,,74.0,,,
Anthony Perosh,Orthodox,,,75.0,,,
Glover Teixeira,Orthodox,,,76.0,,,
Lyoto Machida,Southpaw,,,74.0,,,
Jason Brilz,Orthodox,,,71.0,,,
Tito Ortiz,Orthodox,,,74.0,,,
Jon Jones,Orthodox,,,84.0,,,
Keith Jardine,Orthodox,,,76.0,,,
Eric Schafer,Orthodox,,,76.0,,,
Carmelo Marrero,Orthodox,,,73.0,,,
Izabela Badurek,Orthodox,,,,,,
Aleksandra Albu,Orthodox,,,63.0,,,
Miguel Baeza,Orthodox,,,74.0,,,
Punahele Soriano,Southpaw,,,72.0,,,
Andre Fialho,Orthodox,,,74.0,,,
Khaos Williams,Orthodox,,,77.0,,,
Santiago Ponzinibbio,Orthodox,,,73.0,,,
Takashi Sato,Southpaw,,,73.0,,,
Hector Aldana,Orthodox,,,72.0,,,
Victor Reyna,Southpaw,,,74.0,,,
Ali Bagautinov,Orthodox,,,65.0,,,
Kyoji Horiguchi,Orthodox,,,66.0,,,
Geane Herrera,Orthodox,,,66.0,,,
John Lineker,Orthodox,,,67.0,,,
Marcos Vinicius,Orthodox,,,,,,
Mehdi Baghdad,Orthodox,,,,,,
Chris Wade,Orthodox,,,70.0,,,
Jean Silva,Orthodox,,,69.0,,,
Tucker Lutz,Orthodox,,,72.0,,,
Josh Culibao,Orthodox,,,73.0,,,
Bruno Souza,Orthodox,,,70.0,,,
Dennis Buzukja,Switch,,,70.0,,,
Siyar Bahadurzada,Orthodox,,,73.0,,,
Ismail Naurdiev,Orthodox,,,74.0,,,
Curtis Millender,Orthodox,,,76.0,,,
Luan Chagas,Orthodox,,,75.0,,,
Rob Wilkinson,Orthodox,,,80.0,,,
Brandon Thatch,Switch,,,74.0,,,
John Howard,Orthodox,,,72.0,,,
Dong Hyun Kim,Southpaw,,,76.0,,,
Paulo Thiago,Orthodox,,,74.0,,,
Ignacio Bahamondes,Orthodox,,,75.0,,,
Rafael Fiziev,Switch,,,71.0,,,
Jalin Turner,Southpaw,,,77.0,,,
Manuel Torres,Switch,,,73.0,,,
Christos Giagos,Orthodox,,,71.0,,,
Ludovit Klein,Southpaw,,,72.0,,,
Trey Ogden,Orthodox,,,72.0,,,
Rongzhu,Orthodox,,,71.0,,,
Roosevelt Roberts,Orthodox,,,73.0,,,
Edson Gomez,Switch,,,69.0,,,
Bahatebole Batebolati,Southpaw,,,71.0,,,
HanSeul Kim,Southpaw,,,73.0,,,
WonBin Ki,Orthodox,,,73.0,,,
Shamar Bailey,Southpaw,,,75.0,,,
Danny Castillo,Orthodox,,,71.0,,,
Ryan McGillivray,Orthodox,,,,,,
Justin Wilcox,Orthodox,,,,,,
Scott Baker,Orthodox,,,,,,
Jason DeLucia,Southpaw,,,,,,
Bryan Baker,Orthodox,,,,,,
Chael Sonnen,Southpaw,,,73.0,,,
Eric Schambari,Orthodox,,,,,,
Jesse Forbes,Southpaw,,,75.0,,,
Balajin,Orthodox,,,72.0,,,
Keisuke Sasu,Switch,,,69.0,,,
Oluwale Bamgbose,Switch,,,78.0,,,
Alessio Di Chirico,Orthodox,,,74.0,,,
Paulo Costa,Orthodox,,,72.0,,,
Cezar Ferreira,Southpaw,,,78.0,,,
Daniel Sarafian,Orthodox,,,73.0,,,
Uriah Hall,Orthodox,,,79.0,,,
Marcin Bandel,Orthodox,,,,,,
Mairbek Taisumov,Orthodox,,,73.0,,,
Eduardo Garagorri,Orthodox,,,70.0,,,
Gabriel Benitez,Southpaw,,,71.0,,,
Martin Bravo,Southpaw,,,71.0,,,
Tae Hyun Bang,Switch,,,71.0,,,
Nick Hein,Southpaw,,,66.0,,,
Leo Kuntz,Orthodox,,,,,,
Jon Tuck,Orthodox,,,73.0,,,
Kajan Johnson,Orthodox,,,75.0,,,
Yohan Banks,Orthodox,,,,,,
Michael Diaz,Orthodox,,,,,,
Joey Beltran,Orthodox,,,75.0,,,
Sam Hughes,Orthodox,,,64.0,,,
Puja Tomar,Southpaw,,,59.0,,,
Bruna Brasil,Orthodox,,,65.0,,,
Antonio Banuelos,Orthodox,,,63.0,,,
Masakazu Imanari,Southpaw,,,,,,
Hideo Tokoro,Orthodox,,,,,,
Miguel Torres,Orthodox,,,76.0,,,
Chad George,Southpaw,,,68.0,,,
Scott Jorgensen,Orthodox,,,66.0,,,
Kenji Osawa,Orthodox,,,66.0,,,
Manny Tapia,Orthodox,,,67.0,,,
Justin Robbins,Orthodox,,,,,,
Charlie Valencia,Orthodox,,,64.0,,,
Mike French,Orthodox,,,,,,
Cole Escovedo,Orthodox,,,72.0,,,
Mahamed Aly,Orthodox,,,78.0,,,
Renan Barao,Orthodox,,,70.0,,,
Douglas Silva de Andrade,Orthodox,,,68.0,,,
Luke Sanders,Southpaw,,,67.0,,,
Phillipe Nover,Orthodox,,,72.0,,,
Jeremy Stephens,Orthodox,,,71.0,,,
Mitch Gagnon,Southpaw,,,65.0,,,
Brad Pickett,Orthodox,,,68.0,,,
