fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url
135,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,,Dan Argueta,Jean Matsumoto,Jean Matsumoto,Unknown,SUB Guillotine Choke,2.0,4:59,3,0,
136,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,,Dan Argueta,Miles Johns,,Unknown,Overturned,3.0,5:00,3,0,
137,UFC Fight Night: Vettori vs. Cannonier,2023-06-17,,Dan Argueta,Ronnie Lawrence,,Unknown,Overturned,1.0,2:20,3,0,
138,UFC Fight Night: Strickland vs. Imavov,2023-01-14,,Dan Argueta,Nick Aguirre,Dan Argueta,Unknown,U-DEC,3.0,5:00,3,0,
139,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,,Dan Argueta,Damon Jackson,Damon Jackson,Unknown,U-DEC,3.0,5:00,3,0,
140,DWCS 5.4,2021-09-21,,Hashem Arkhagha,AJ Dobson,AJ Dobson,Unknown,SUB Rear Naked Choke,1.0,4:21,3,0,
141,UFC 303: Pereira vs. Prochazka 2,2024-06-29,,Andrei Arlovski,Martin Buday,Martin Buday,Unknown,S-DEC,3.0,5:00,3,0,
142,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,,Andrei Arlovski,Waldo Cortes Acosta,Waldo Cortes Acosta,Unknown,U-DEC,3.0,5:00,3,0,
143,UFC Fight Night: Kara-France vs. Albazi,2023-06-03,,Andrei Arlovski,Don'Tale Mayes,Don'Tale Mayes,Unknown,KO/TKO Punch,2.0,3:17,3,0,
144,UFC Fight Night: Kattar vs. Allen,2022-10-29,,Andrei Arlovski,Marcos Rogerio de Lima,Marcos Rogerio de Lima,Unknown,SUB Rear Naked Choke,1.0,1:50,3,0,
145,UFC Fight Night: Font vs. Vera,2022-04-30,,Andrei Arlovski,Jake Collier,Andrei Arlovski,Unknown,S-DEC,3.0,5:00,3,0,
146,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,,Andrei Arlovski,Jared Vanderaa,Andrei Arlovski,Unknown,S-DEC,3.0,5:00,3,0,
147,UFC Fight Night: Ladd vs. Dumont,2021-10-16,,Andrei Arlovski,Carlos Felipe,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
148,UFC Fight Night: Whittaker vs. Gastelum,2021-04-17,,Andrei Arlovski,Chase Sherman,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
149,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,,Andrei Arlovski,Tom Aspinall,Tom Aspinall,Unknown,SUB Rear Naked Choke,2.0,1:09,3,0,
150,UFC Fight Night: Santos vs. Teixeira,2020-11-07,,Andrei Arlovski,Tanner Boser,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
151,UFC Fight Night: Smith vs. Teixeira,2020-05-13,,Andrei Arlovski,Philipe Lins,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
152,UFC 244: Masvidal vs. Diaz,2019-11-02,,Andrei Arlovski,Jairzinho Rozenstruik,Jairzinho Rozenstruik,Unknown,KO/TKO Punch,1.0,0:29,3,0,
153,UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,,Andrei Arlovski,Ben Rothwell,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
154,UFC Fight Night: Jacare vs. Hermansson,2019-04-27,,Andrei Arlovski,Augusto Sakai,Augusto Sakai,Unknown,S-DEC,3.0,5:00,3,0,
155,UFC 232: Jones vs. Gustafsson 2,2018-12-29,,Andrei Arlovski,Walt Harris,,Unknown,Overturned,3.0,5:00,3,0,
156,UFC Fight Night: Hunt vs. Oleinik,2018-09-15,,Andrei Arlovski,Shamil Abdurakhimov,Shamil Abdurakhimov,Unknown,U-DEC,3.0,5:00,3,0,
157,UFC 225: Whittaker vs. Romero 2,2018-06-09,,Andrei Arlovski,Tai Tuivasa,Tai Tuivasa,Unknown,U-DEC,3.0,5:00,3,0,
158,UFC 222: Cyborg vs. Kunitskaya,2018-03-03,,Andrei Arlovski,Stefan Struve,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
159,UFC Fight Night: Poirier vs. Pettis,2017-11-11,,Andrei Arlovski,Junior Albini,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
160,UFC Fight Night: Holm vs. Correia,2017-06-17,,Andrei Arlovski,Marcin Tybura,Marcin Tybura,Unknown,U-DEC,3.0,5:00,3,0,
161,UFC on FOX: Shevchenko vs. Pena,2017-01-28,,Andrei Arlovski,Francis Ngannou,Francis Ngannou,Unknown,KO/TKO Punch,1.0,1:32,3,0,
162,UFC Fight Night: Arlovski vs. Barnett,2016-09-03,,Andrei Arlovski,Josh Barnett,Josh Barnett,Unknown,SUB Rear Naked Choke,3.0,2:53,3,0,
163,UFC Fight Night: Overeem vs Arlovski,2016-05-08,,Andrei Arlovski,Alistair Overeem,Alistair Overeem,Unknown,KO/TKO Punch,2.0,1:12,3,0,
164,UFC 195: Lawler vs Condit,2016-01-02,,Andrei Arlovski,Stipe Miocic,Stipe Miocic,Unknown,KO/TKO Punch,1.0,0:54,3,0,
165,UFC 191: Johnson vs Dodson 2,2015-09-05,,Andrei Arlovski,Frank Mir,Andrei Arlovski,Unknown,U-DEC,3.0,5:00,3,0,
166,UFC 187: Johnson vs Cormier,2015-05-23,,Andrei Arlovski,Travis Browne,Andrei Arlovski,Unknown,KO/TKO Punches,1.0,4:41,3,0,
167,UFC Fight Night: Bigfoot vs Arlovski,2014-09-13,,Andrei Arlovski,Antonio Silva,Andrei Arlovski,Unknown,KO/TKO Punch,1.0,2:59,3,0,
