name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url,nickname,weight_class
Josh Hendricks,Southpaw,74.0,235.0,,,,,No Nickname,Heavyweight
Justin McCully,Orthodox,73.0,225.0,73.0,,,,The Insane One,Heavyweight
Fabiano Scherner,Orthodox,75.0,257.0,,,,,Pegaleve,Heavyweight
Justin Gonzales,Orthodox,69.0,145.0,72.0,,,,J-Train,
Zach Zane,Southpaw,67.0,145.0,69.0,,,,The Hurricane,
Fernando Gonzalez,Southpaw,69.0,170.0,68.0,,,,The Menifee Maniac,
Eddie Mendez,Orthodox,61.0,185.0,,,,,No Nickname,Middleweight
Brendan Seguin,Orthodox,72.0,185.0,,,,,No Nickname,
Lewis Gonzalez,Orthodox,61.0,170.0,,,,,Lethal,Welterweight
Mikey Gonzalez,Orthodox,71.0,155.0,74.0,,,,Rolls,
Erick Gonzalez,Orthodox,71.0,155.0,75.0,,,,The Ghost Pepper,Lightweight
Kier Gooch,Orthodox,,155.0,,,,,No Nickname,
Adam Schindler,Orthodox,68.0,155.0,,,,,No Nickname,
Chance Rencountre,Southpaw,74.0,170.0,75.0,,,,Black Eagle,Welterweight
Carlston Harris,Orthodox,72.0,170.0,76.0,,,,Mocambique,Welterweight
Abubakar Nurmagomedov,Orthodox,71.0,170.0,72.0,,,,No Nickname,Welterweight
Lloyd Van Dams,Southpaw,73.0,240.0,,,,,No Nickname,
Achmed Labasanov,Orthodox,75.0,215.0,,,,,No Nickname,
Yoshiaki Yatsu,Orthodox,73.0,165.0,,,,,No Nickname,
Osamu Tachihikari,Orthodox,77.0,300.0,,,,,No Nickname,
Andre Roberts,Orthodox,74.0,345.0,,,,,The Chief,Heavyweight
Amir Rahnavardi,Orthodox,72.0,205.0,,,,,No Nickname,
Mark Schultz,Orthodox,69.0,200.0,,,,,No Nickname,Open Weight
Paul Herrera,Orthodox,61.0,185.0,,,,,The Bone Crusher,Open Weight
Gerard Gordeau,Orthodox,77.0,216.0,,,,,No Nickname,
Teila Tuli,Orthodox,72.0,430.0,,,,,No Nickname,
Michel Quinones,Orthodox,61.0,155.0,73.0,,,,El Capo,Lightweight
Tebaris Gordon,Orthodox,73.0,265.0,,,,,Boom,
Alex Gorgees,Switch,74.0,155.0,74.0,,,,Hitman,Lightweight
Chase Gormley,Orthodox,75.0,265.0,,,,,No Nickname,Heavyweight
Todd Gouwenberg,Orthodox,73.0,205.0,,,,,No Nickname,
Damian Grabowski,Orthodox,73.0,241.0,75.0,,,,The Polish Pitbull,Heavyweight
Matt Hughes,Switch,69.0,170.0,73.0,,,,No Nickname,Welterweight
Keith Hackney,Sideways,71.0,200.0,,,,,The Giant Killer,Open Weight
Ron van Clief,Orthodox,61.0,190.0,,,,,The Black Dragon,Open Weight
Kimo Leopoldo,Orthodox,75.0,235.0,,,,,No Nickname,Heavyweight
Remco Pardoel,Southpaw,75.0,260.0,,,,,Grizzly,Open Weight
Minoki Ichihara,Orthodox,67.0,178.0,,,,,No Nickname,Open Weight
Art Jimmerson,Orthodox,73.0,196.0,,,,,No Nickname,
Daniel Gracie,Orthodox,74.0,225.0,,,,,No Nickname,
Wataru Sakata,Southpaw,69.0,195.0,,,,,No Nickname,
Takashi Sugiura,Southpaw,71.0,225.0,,,,,No Nickname,
Renzo Gracie,Orthodox,61.0,185.0,,,,,No Nickname,Welterweight
Michiyoshi Ohara,Orthodox,61.0,205.0,,,,,No Nickname,
Sanae Kikuta,Orthodox,69.0,200.0,,,,,No Nickname,Middleweight
Rickson Gracie,Switch,61.0,185.0,,,,,No Nickname,
Rodrigo Gracie,Orthodox,72.0,183.0,,,,,No Nickname,
Yuki Sasaki,Orthodox,74.0,185.0,,,,,No Nickname,Middleweight
Royler Gracie,Southpaw,68.0,150.0,,,,,No Nickname,
Yuhi Sano,Orthodox,71.0,243.0,,,,,No Nickname,
Kazuhiro Hamanaka,Southpaw,72.0,185.0,,,,,No Nickname,
Tokimitsu Ishizawa,Orthodox,72.0,185.0,,,,,Kendo Ka Shin,
Cesar Gracie,Orthodox,61.0,181.0,,,,,No Nickname,
Roger Gracie,Orthodox,76.0,185.0,79.0,,,,No Nickname,Middleweight
Muhammed Lawal,Southpaw,72.0,205.0,78.0,,,,King Mo,
Trevor Prangley,Orthodox,73.0,185.0,75.0,,,,No Nickname,Middleweight
Igor Gracie,Orthodox,71.0,170.0,,,,,No Nickname,
John Salgado,Orthodox,61.0,170.0,,,,,Greco,
Luke Riley,Orthodox,69.0,145.0,69.0,,,,No Nickname,Featherweight
Steven Graham,Orthodox,73.0,290.0,,,,,No Nickname,Heavyweight
Dmitri Stepanov,Orthodox,75.0,217.0,,,,,No Nickname,Heavyweight
Chris Yee,Orthodox,69.0,185.0,,,,,No Nickname,
Carlo Prater,Switch,71.0,155.0,72.0,,,,Neo,Welterweight
Julio Paulino,Orthodox,72.0,170.0,,,,,The Dominican Demon,Welterweight
Ramon Taveras,Southpaw,68.0,145.0,70.0,,,,The Savage,Bantamweight
Grigory Popov,Switch,67.0,135.0,68.0,,,,No Nickname,Bantamweight
Damian Stasiak,Orthodox,65.0,135.0,70.0,,,,Webster,Bantamweight
Dwight Grant,Switch,73.0,185.0,76.0,,,,The Body Snatcher,Welterweight
Sergey Khandozhko,Orthodox,73.0,170.0,74.0,,,,Honda,Welterweight
Carlo Pedersoli Jr.,Southpaw,71.0,170.0,75.0,,,,Semento,Welterweight
Tyler Hill,Switch,75.0,170.0,,,,,No Nickname,
Saimon Oliveira,Orthodox,64.0,135.0,72.0,,,,No Nickname,Bantamweight
Brett Johns,Orthodox,67.0,135.0,71.0,,,,The Pikey,Bantamweight
Ray Rodriguez,Orthodox,67.0,135.0,70.0,,,,The Judge,Bantamweight
Shelton Graves,Southpaw,74.0,255.0,76.0,,,,The Gravedigger,
Everett Sims,Southpaw,77.0,260.0,77.0,,,,Sexual Chocolate,
James Gray,Orthodox,69.0,135.0,,,,,The Phenom,
Kevin Gray,Orthodox,64.0,125.0,67.0,,,,Pocket Herc,
Sam Greco,Orthodox,74.0,205.0,,,,,No Nickname,
Mauricio Ruffy,Orthodox,71.0,155.0,75.0,,,,No Nickname,Lightweight
James Reese,Orthodox,69.0,155.0,,,,,JP,
Charon Spain,Orthodox,69.0,155.0,,,,,No Nickname,
Ian Machado Garry,Orthodox,75.0,170.0,74.0,,,,The Future,Welterweight
Edson Silva,Orthodox,,205.0,,,,,Paredao,
Zelim Imadaev,Orthodox,72.0,170.0,76.0,,,,No Nickname,Welterweight
Luis Saldana,Orthodox,71.0,145.0,73.0,,,,No Nickname,Featherweight
Maurice Mitchell,Orthodox,69.0,145.0,,,,,The AK Kid,
Bobby Lashley,Orthodox,75.0,255.0,78.0,,,,No Nickname,
Cameron Smotherman,Orthodox,69.0,135.0,69.0,,,,The Baby-Faced Killa,Bantamweight
Chuck Grigsby,Orthodox,78.0,205.0,,,,,The Reverend,
Rodrigo Gripp de Sousa,Orthodox,71.0,205.0,,,,,Riscado,
Garrett Gross,Orthodox,69.0,155.0,,,,,No Nickname,
Jake Rosholt,Orthodox,73.0,185.0,,,,,No Nickname,Middleweight
Chris Price,Southpaw,74.0,185.0,,,,,The Exorcist,Middleweight
Claudio Puelles,Southpaw,61.0,155.0,72.0,,,,Prince of Peru,Lightweight
Davi Ramos,Orthodox,66.0,155.0,70.0,,,,Tasmanian Devil,Lightweight
Abner Lloveras,Orthodox,71.0,155.0,,,,,Skullman,Lightweight
Brendan O'Reilly,Orthodox,67.0,170.0,69.0,,,,Badger,Welterweight
Chris Indich,Orthodox,61.0,170.0,,,,,No Nickname,Welterweight
Dale Hartt,Orthodox,61.0,155.0,69.0,,,,No Nickname,Lightweight
Justin James,Orthodox,61.0,155.0,,,,,No Nickname,Lightweight
Joe Martin,Orthodox,69.0,170.0,,,,,No Nickname,
Jason Guida,Orthodox,61.0,214.0,,,,,No Nickname,
Ronys Torres,Orthodox,67.0,155.0,,,,,No Nickname,Lightweight
Gabe Ruediger,Orthodox,61.0,155.0,,,,,Godzilla,Lightweight
Chris Guillen,Orthodox,72.0,240.0,,,,,No Nickname,
Hyun Gyu Lim,Orthodox,75.0,170.0,77.0,,,,The Ace,Welterweight
Dan Stittgen,Orthodox,73.0,170.0,,,,,The Anvil,Welterweight
Mark Holst,Orthodox,72.0,155.0,,,,,Boots,Lightweight
John Gunther,Orthodox,69.0,155.0,72.0,,,,The Machine,Lightweight
Allan Zuniga,Orthodox,67.0,155.0,70.0,,,,Tigre,Lightweight
Billy Vaughan,Orthodox,66.0,155.0,,,,,No Nickname,
John Halverson,Southpaw,69.0,155.0,,,,,The Hurricane,Lightweight
Diego Saraiva,Orthodox,66.0,155.0,,,,,The Octopus,Lightweight
Danny Abbadi,Orthodox,71.0,155.0,,,,,The Assassin,Lightweight
Luis Gurule,Orthodox,65.0,125.0,64.0,,,,Grim,Flyweight
Gugun Gusman,Orthodox,67.0,135.0,68.0,,,,The Tiger,
Andre Gusmao,Orthodox,72.0,205.0,,,,,No Nickname,Light Heavyweight
Pat Pytlik,Orthodox,72.0,170.0,73.0,,,,No Nickname,
Horacio Gutierrez,Orthodox,61.0,145.0,,,,,The Punisher,Featherweight
Vince Morales,Orthodox,67.0,135.0,70.0,,,,Vandetta,Bantamweight
Ryan MacDonald,Switch,71.0,135.0,71.0,,,,Main Event,Bantamweight
Mando Gutierrez,Southpaw,66.0,135.0,70.0,,,,El Toro,
Mike Guymon,Orthodox,72.0,170.0,74.0,,,,The Joker,Welterweight
Yoshiyuki Yoshida,Southpaw,71.0,170.0,70.0,,,,Zenko,Welterweight
Chelsea Hackett,Switch,64.0,125.0,66.0,,,,Hammer,
Joe Son,Orthodox,64.0,236.0,,,,,No Nickname,Open Weight
Emmanuel Yarborough,Open Stance,80.0,770.0,,,,,No Nickname,Open Weight
Mitch Raposo,Switch,65.0,125.0,64.0,,,,No Nickname,Flyweight
Steve Hadsel,Orthodox,68.0,170.0,,,,,No Nickname,
Taylor Roberts,Orthodox,71.0,170.0,,,,,No Nickname,
Marcin Held,Orthodox,69.0,155.0,71.0,,,,No Nickname,Lightweight
Theo Haig,Orthodox,74.0,185.0,77.0,,,,No Nickname,
Cezary Oleksiejczuk,Southpaw,75.0,185.0,75.0,,,,No Nickname,
Yazan Hajeh,Orthodox,69.0,145.0,,,,,Yazzle Dazzle,
Matt Sayles,Orthodox,67.0,155.0,68.0,,,,No Nickname,Featherweight
Stoney Hale,Orthodox,72.0,,,,,,The Skuller,
Gerric Hayes,Orthodox,61.0,,,,,,No Nickname,
Felix Lee Mitchell,Orthodox,,,,,,,No Nickname,
Koji Kitao,Southpaw,79.0,350.0,,,,,No Nickname,Open Weight
Paul Varelans,Orthodox,80.0,300.0,,,,,The Polar Bear,Open Weight
Harold Howard,Orthodox,74.0,240.0,,,,,No Nickname,Open Weight
Ron Stallings,Southpaw,74.0,170.0,75.0,,,,The Choir Boy,Middleweight
Danielle Taylor,Orthodox,60.0,115.0,60.0,,,,Dynamite,Women's Strawweight
Frank Hamaker,Orthodox,,,,,,,No Nickname,
Thaddeus Luster,Orthodox,75.0,210.0,,,,,No Nickname,Open Weight
Roger Hollett,Orthodox,71.0,205.0,,,,,The Hulk,Light Heavyweight
Reese Andy,Orthodox,72.0,205.0,,,,,Riptide,Light Heavyweight
Rex Holman,Southpaw,75.0,205.0,,,,,Big Dog,Light Heavyweight
Ruan Potts,Orthodox,74.0,247.0,75.0,,,,Fangzz,Heavyweight
CJ Hamilton,Switch,67.0,125.0,68.0,,,,The Autobot,
Michael Kuiper,Orthodox,72.0,185.0,73.0,,,,No Nickname,Middleweight
Jason Ireland,Southpaw,69.0,161.0,,,,,The Irish Tornado,
Landon Quinones,Southpaw,69.0,155.0,70.0,,,,The Lone Wolf,Lightweight
Shin Haraguchi,Switch,65.0,145.0,68.0,,,,No Nickname,
Zhu Kangjie,Orthodox,68.0,145.0,70.0,,,,No Nickname,
JunYoung Hong,Orthodox,69.0,145.0,69.0,,,,Drunken Red,
Windri Patilima,Southpaw,66.0,155.0,71.0,,,,No Nickname,
Mike Wessel,Orthodox,72.0,260.0,,,,,Juggernaut,Heavyweight
Colin Robinson,Orthodox,76.0,243.0,,,,,Big C,Heavyweight
Sherman Pendergarst,Orthodox,73.0,235.0,,,,,The Tank,Heavyweight
George Hardwick,Orthodox,61.0,155.0,72.0,,,,King,
Abdul-Kareem Al-Selwady,Orthodox,68.0,155.0,69.0,,,,Pride of Palestine,Lightweight
Brogan Walker,Switch,64.0,125.0,67.0,,,,The Bear,Women's Flyweight
Juliana Miller,Orthodox,67.0,125.0,66.0,,,,Killer,Women's Flyweight
Bea Malecki,Orthodox,69.0,135.0,74.0,,,,No Nickname,Women's Bantamweight
Ben Sosoli,Southpaw,72.0,265.0,72.0,,,,Combat Wombat,Heavyweight
Baru Harn,Orthodox,,265.0,,,,,Seiryu,
Gerry Harris,Orthodox,80.0,270.0,,,,,No Nickname,Open Weight
Mario Miranda,Orthodox,75.0,185.0,74.0,,,,No Nickname,Middleweight
John Salter,Southpaw,73.0,185.0,74.0,,,,No Nickname,Middleweight
Shavkat Rakhmonov,Orthodox,73.0,170.0,77.0,,,,Nomad,Welterweight
Kayla Harrison,Southpaw,68.0,135.0,66.0,,,,No Nickname,Women's Bantamweight
Luke Hartwig,Orthodox,,,,,,,No Nickname,
Eric Magana,Orthodox,,,,,,,No Nickname,
