fight_date,event,fighter_a,fighter_b,sportsbook,fighter_a_odds,fighter_b_odds,timestamp,source_file
2023-12-10,UFC Fight Night: Song vs. Gutierrez,HyunSung Park,Shannon Ross,espn_source,-725,475,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Steve Garcia,Melquizael Costa,espn_source,200,-245,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Luana Santos,Stephanie Egger,espn_source,-155,130,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-10,UFC Fight Night: Song vs. Gutierrez,Rayanne dos Santos,Talita Alencar,espn_source,-175,145,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-16,UFC 296: Edwards vs. Covington,Leon Edwards,Colby Covington,espn_source,-150,125,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-16,UFC 296: Edwards vs. Covington,Alexandre Pantoja,Brandon Royval,espn_source,-240,195,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-16,UFC 296: Edwards vs. Covington,Shavkat Rakhmonov,Stephen Thompson,espn_source,-725,475,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-16,UFC 296: Edwards vs. Covington,Tony Ferguson,Paddy Pimblett,espn_source,270,-350,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-16,UFC 296: Edwards vs. Covington,Josh Emmett,Bryce Mitchell,espn_source,215,-265,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2023-12-16,UFC 296: Edwards vs. Covington,Alonzo Menifield,Dustin Jacoby,espn_source,200,-245,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
