event,fight_date,fighter_a,fighter_b,judge,round_1_a,round_1_b,round_2_a,round_2_b,round_3_a,round_3_b,round_4_a,round_4_b,round_5_a,round_5_b,total_a,total_b,decision_type,winner,card_type,raw_scorecards,source_file
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Morgan Charrière,Chepe Mariscal,raw_scorecards,,,,,,,,,,,,,Main Card,Chepe Mariscal,Main Card,28-29 | 30-27 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Trevor Peek,Charlie Campbell,raw_scorecards,,,,,,,,,,,,,Main Card,Charlie Campbell,Main Card,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Court McGee,Alex Morono,raw_scorecards,,,,,,,,,,,,,Prelims,Alex Morono,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Valter Walker,Lukasz Brzeski,raw_scorecards,,,,,,,,,,,,,Prelims,Lukasz Brzeski,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Norma Dumont,Germaine de Randamie,raw_scorecards,,,,,,,,,,,,,Prelims,Norma Dumont,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Allen vs. Curtis 2,2024-04-06,Pedro Falcão,Victor Hugo,raw_scorecards,,,,,,,,,,,,,Prelims,Victor Hugo,Prelims,27-30 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 300: Pereira vs. Hill,2024-04-13,Zhang Weili,Yan Xiaonan,raw_scorecards,,,,,,,,,,,,,Main Card,Zhang Weili,Main Card,49-45 | 49-45 | 49-45,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 300: Pereira vs. Hill,2024-04-13,Charles Oliveira,Arman Tsarukyan,raw_scorecards,,,,,,,,,,,,,Main Card,Arman Tsarukyan,Main Card,29-28 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 300: Pereira vs. Hill,2024-04-13,Calvin Kattar,Aljamain Sterling,raw_scorecards,,,,,,,,,,,,,Prelims,Aljamain Sterling,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 300: Pereira vs. Hill,2024-04-13,Jessica Andrade,Marina Rodriguez,raw_scorecards,,,,,,,,,,,,,Early Prelims,Jessica Andrade,Early Prelims,28-29 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 300: Pereira vs. Hill,2024-04-13,King Green,Jim Miller,raw_scorecards,,,,,,,,,,,,,Early Prelims,King Green,Early Prelims,29-27 | 30-25 | 29-26,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Ariane da Silva,Karine Silva,raw_scorecards,,,,,,,,,,,,,Main Card,Karine Silva,Main Card,27-30 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Jonathan Pearce,David Onama,raw_scorecards,,,,,,,,,,,,,Main Card,David Onama,Main Card,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Austin Hubbard,Michal Figlak,raw_scorecards,,,,,,,,,,,,,Prelims,Austin Hubbard,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Don'Tale Mayes,Caio Machado,raw_scorecards,,,,,,,,,,,,,Prelims,Don'Tale Mayes,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Marnic Mann,Ketlen Souza,raw_scorecards,,,,,,,,,,,,,Prelims,Ketlen Souza,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Nicolau vs. Perez,2024-04-27,Gabriel Benitez,Maheshate,raw_scorecards,,,,,,,,,,,,,Prelims,Maheshate,Prelims,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 301: Pantoja vs. Erceg,2024-05-04,Alexandre Pantoja,Steve Erceg,raw_scorecards,,,,,,,,,,,,,Main Card,Alexandre Pantoja,Main Card,48-47 | 48-47 | 49-46,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 301: Pantoja vs. Erceg,2024-05-04,José Aldo,Jonathan Martinez,raw_scorecards,,,,,,,,,,,,,Main Card,José Aldo,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 301: Pantoja vs. Erceg,2024-05-04,Karolina Kowalkiewicz,Iasmin Lucindo,raw_scorecards,,,,,,,,,,,,,Prelims,Iasmin Lucindo,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 301: Pantoja vs. Erceg,2024-05-04,Elves Brener,Myktybek Orolbai,raw_scorecards,,,,,,,,,,,,,Prelims,Myktybek Orolbai,Prelims,27-29 | 27-29 | 27-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 301: Pantoja vs. Erceg,2024-05-04,Joaquim Silva,Drakkar Klose,raw_scorecards,,,,,,,,,,,,,Prelims,Drakkar Klose,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 301: Pantoja vs. Erceg,2024-05-04,Dione Barbosa,Ernesta Kareckaite,raw_scorecards,,,,,,,,,,,,,Early Prelims,Dione Barbosa,Early Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 301: Pantoja vs. Erceg,2024-05-04,Ismael Bonfim,Vinc Pichel,raw_scorecards,,,,,,,,,,,,,Early Prelims,Ismael Bonfim,Early Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Joaquin Buckley,Nursulton Ruziboev,raw_scorecards,,,,,,,,,,,,,Main Card,Joaquin Buckley,Main Card,30-27 | 30-26 | 29-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Alex Caceres,Sean Woodson,raw_scorecards,,,,,,,,,,,,,Main Card,Sean Woodson,Main Card,28-29 | 28-29 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Waldo Cortes-Acosta,Robelis Despaigne,raw_scorecards,,,,,,,,,,,,,Main Card,Waldo Cortes-Acosta,Main Card,30-26 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Tabatha Ricci,Tecia Pennington,raw_scorecards,,,,,,,,,,,,,Prelims,Tabatha Ricci,Prelims,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Billy Ray Goff,Trey Waters,raw_scorecards,,,,,,,,,,,,,Prelims,Trey Waters,Prelims,27-30 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,Charles Johnson,Jake Hadley,raw_scorecards,,,,,,,,,,,,,Prelims,Charles Johnson,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lewis vs. Nascimento,2024-05-11,JJ Aldrich,Veronica Hardy,raw_scorecards,,,,,,,,,,,,,Prelims,Veronica Hardy,Prelims,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Barboza vs. Murphy,2024-05-18,Edson Barboza,Lerone Murphy,raw_scorecards,,,,,,,,,,,,,Main Card,Lerone Murphy,Main Card,46-49 | 45-50 | 45-50,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Barboza vs. Murphy,2024-05-18,Themba Gorimbo,Ramiz Brahimaj,raw_scorecards,,,,,,,,,,,,,Main Card,Themba Gorimbo,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Barboza vs. Murphy,2024-05-18,Abus Magomedov,Warlley Alves,raw_scorecards,,,,,,,,,,,,,Prelims,Abus Magomedov,Prelims,30-26 | 30-26 | 30-26,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Barboza vs. Murphy,2024-05-18,Alatengheili,Kleydson Rodrigues,raw_scorecards,,,,,,,,,,,,,Prelims,Alatengheili,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Barboza vs. Murphy,2024-05-18,Vanessa Demopoulos,Emily Ducote,raw_scorecards,,,,,,,,,,,,,Prelims,Vanessa Demopoulos,Prelims,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Sean Strickland,Paulo Costa,raw_scorecards,,,,,,,,,,,,,Main Card,Sean Strickland,Main Card,46-49 | 50-45 | 49-46,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Niko Price,Alex Morono,raw_scorecards,,,,,,,,,,,,,Main Card,Niko Price,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Randy Brown,Elizeu Zaleski dos Santos,raw_scorecards,,,,,,,,,,,,,Main Card,Randy Brown,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Cesar Almeida,Roman Kopylov,raw_scorecards,,,,,,,,,,,,,Prelims,Roman Kopylov,Prelims,28-29 | 29-28 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Grant Dawson,Joe Solecki,raw_scorecards,,,,,,,,,,,,,Prelims,Grant Dawson,Prelims,29-28 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Phil Rowe,Jake Matthews,raw_scorecards,,,,,,,,,,,,,Prelims,Jake Matthews,Prelims,28-29 | 28-29 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Mickey Gall,Bassil Hafez,raw_scorecards,,,,,,,,,,,,,Early Prelims,Bassil Hafez,Early Prelims,27-30 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Ailin Perez,Joselyne Edwards,raw_scorecards,,,,,,,,,,,,,Early Prelims,Ailin Perez,Early Prelims,30-27 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 302: Makhachev vs. Poirier,2024-06-01,Mitch Raposo,Andre Lima,raw_scorecards,,,,,,,,,,,,,Early Prelims,Andre Lima,Early Prelims,27-30 | 29-28 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Miguel Baeza,Punahele Soriano,raw_scorecards,,,,,,,,,,,,,Main Card,Punahele Soriano,Main Card,25-30 | 25-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Thiago Moises,Ludovit Klein,raw_scorecards,,,,,,,,,,,,,Prelims,Ludovit Klein,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Brad Katona,Jesse Butler,raw_scorecards,,,,,,,,,,,,,Prelims,Brad Katona,Prelims,30-26 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Andrea Lee,Montana De La Rosa,raw_scorecards,,,,,,,,,,,,,Prelims,Montana De La Rosa,Prelims,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,John Castaneda,Daniel Marcos,raw_scorecards,,,,,,,,,,,,,Prelims,Daniel Marcos,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Eduarda Moura,Denise Gomes,raw_scorecards,,,,,,,,,,,,,Prelims,Denise Gomes,Prelims,29-28 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Cody Stamann,Taylor Lapilus,raw_scorecards,,,,,,,,,,,,,Prelims,Taylor Lapilus,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Cannonier vs. Imavov,2024-06-08,Rayanne dos Santos,Puja Tomar,raw_scorecards,,,,,,,,,,,,,Prelims,Puja Tomar,Prelims,27-30 | 30-27 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Perez vs. Taira,2024-06-15,Douglas Silva de Andrade,Miles Johns,raw_scorecards,,,,,,,,,,,,,Main Card,Miles Johns,Main Card,27-30 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Perez vs. Taira,2024-06-15,Timmy Cuamba,Lucas Almeida,raw_scorecards,,,,,,,,,,,,,Main Card,Lucas Almeida,Main Card,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Perez vs. Taira,2024-06-15,Asu Almabayev,Jose Johnson,raw_scorecards,,,,,,,,,,,,,Main Card,Asu Almabayev,Main Card,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Perez vs. Taira,2024-06-15,Josh Quinlan,Adam Fugitt,raw_scorecards,,,,,,,,,,,,,Main Card,Adam Fugitt,Main Card,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Perez vs. Taira,2024-06-15,Jimmy Flick,Nate Maness,raw_scorecards,,,,,,,,,,,,,Prelims,Nate Maness,Prelims,27-30 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Perez vs. Taira,2024-06-15,Carli Judice,Gabriella Fernandes,raw_scorecards,,,,,,,,,,,,,Prelims,Gabriella Fernandes,Prelims,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Perez vs. Taira,2024-06-15,Josefine Knutsson,Julia Polastri,raw_scorecards,,,,,,,,,,,,,Prelims,Josefine Knutsson,Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Sergei Pavlovich,Alexander Volkov,raw_scorecards,,,,,,,,,,,,,Main Card,Alexander Volkov,Main Card,27-30 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Kelvin Gastelum,Daniel Rodriguez,raw_scorecards,,,,,,,,,,,,,Main Card,Kelvin Gastelum,Main Card,29-28 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Nasrat Haqparast,Jared Gordon,raw_scorecards,,,,,,,,,,,,,Prelims,Nasrat Haqparast,Prelims,28-29 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Rinat Fakhretdinov,Nicolas Dalby,raw_scorecards,,,,,,,,,,,,,Prelims,Rinat Fakhretdinov,Prelims,29-28 | 28-29 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Kyung Ho Kang,Muin Gafurov,raw_scorecards,,,,,,,,,,,,,Prelims,Muin Gafurov,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Magomed Gadzhiyasulov,Brendson Ribeiro,raw_scorecards,,,,,,,,,,,,,Prelims,Magomed Gadzhiyasulov,Prelims,29-28 | 29-28 | 28-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,Xiao Long,ChangHo Lee,raw_scorecards,,,,,,,,,,,,,Prelims,ChangHo Lee,Prelims,29-28 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Dan Ige,Diego Lopes,raw_scorecards,,,,,,,,,,,,,Main Card,Diego Lopes,Main Card,28-29 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Anthony Smith,Roman Dolidze,raw_scorecards,,,,,,,,,,,,,Main Card,Roman Dolidze,Main Card,27-30 | 28-29 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Ian Machado Garry,Michael Page,raw_scorecards,,,,,,,,,,,,,Main Card,Ian Machado Garry,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Cub Swanson,Andre Fili,raw_scorecards,,,,,,,,,,,,,Prelims,Andre Fili,Prelims,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Michelle Waterson-Gomez,Gillian Robertson,raw_scorecards,,,,,,,,,,,,,Early Prelims,Gillian Robertson,Early Prelims,27-30 | 27-30 | 26-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Andrei Arlovski,Martin Buday,raw_scorecards,,,,,,,,,,,,,Early Prelims,Martin Buday,Early Prelims,28-29 | 29-28 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Rei Tsuruya,Carlos Hernandez,raw_scorecards,,,,,,,,,,,,,Early Prelims,Rei Tsuruya,Early Prelims,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC 303: Pereira vs. Procházka 2,2024-06-29,Ricky Simon,Vinicius Oliveira,raw_scorecards,,,,,,,,,,,,,Early Prelims,Vinicius Oliveira,Early Prelims,27-30 | 27-30 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Rose Namajunas,Tracy Cortez,raw_scorecards,,,,,,,,,,,,,Main Card,Rose Namajunas,Main Card,49-46 | 49-46 | 48-47,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Santiago Ponzinibbio,Muslim Salikhov,raw_scorecards,,,,,,,,,,,,,Main Card,Muslim Salikhov,Main Card,28-29 | 29-28 | 28-29,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Gabriel Bonfim,Ange Loosa,raw_scorecards,,,,,,,,,,,,,Main Card,Gabriel Bonfim,Main Card,30-27 | 30-27 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Jasmine Jasudavicius,Fatima Kline,raw_scorecards,,,,,,,,,,,,,Prelims,Jasmine Jasudavicius,Prelims,30-27 | 30-27 | 30-27,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Namajunas vs. Cortez,2024-07-13,Josh Fremd,Andre Petroski,raw_scorecards,,,,,,,,,,,,,Prelims,Andre Petroski,Prelims,27-30 | 27-30 | 27-30,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,Kurt Holobaugh,Kaynan Kruschewsky,raw_scorecards,,,,,,,,,,,,,Main Card,Kurt Holobaugh,Main Card,29-28 | 29-28 | 29-28,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
