fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url,title_fight
9670,UFC 221: Romero vs. Rockhold,2018-02-10,"Perth, Western Australia, Australia",Luke Rockhold,Yoel Romero,Yoel Romero,Middleweight,KO/TKO Punch,3.0,1:48,5,1,,1
9671,Strikeforce Challengers 4,2009-11-06,,Luke Rockhold,Jesse Taylor,Luke Rockhold,Unknown,SUB Rear Naked Choke,1.0,3:42,3,0,,0
9672,Strikeforce - Destruction,2008-11-21,,Luke Rockhold,Nik Theotikos,Luke Rockhold,Unknown,SUB Rear Naked Choke,1.0,3:06,3,0,,0
9673,UFC Fight Night: Hermansson vs. Pyfer,2024-02-10,"Las Vegas, Nevada, USA",Gregory Rodrigues,Brad Tavares,Gregory Rodrigues,Middleweight,KO/TKO Punches,3.0,0:55,3,0,,0
9674,UFC 292: Sterling vs. O'Malley,2023-08-19,"Boston, Massachusetts, USA",Gregory Rodrigues,Denis Tiuliulin,Gregory Rodrigues,Middleweight,KO/TKO Elbows,1.0,1:43,3,0,,0
9675,UFC Fight Night: Rozenstruik vs. Sakai,2021-06-05,"Las Vegas, Nevada, USA",Gregory Rodrigues,Dusko Todorovic,Gregory Rodrigues,Middleweight,U-DEC,3.0,5:00,3,0,,0
9676,DWCS 4.7,2020-09-15,,Gregory Rodrigues,Jordan Williams,Jordan Williams,Unknown,KO/TKO Punches,1.0,2:19,3,0,,0
9677,UFC Fight Night: Barboza vs. Murphy,2024-05-18,"Las Vegas, Nevada, USA",Kleydson Rodrigues,Alatengheili,Alatengheili,Bantamweight,U-DEC,3.0,5:00,3,0,,0
9678,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Western Australia, Australia",Kleydson Rodrigues,Shannon Ross,Kleydson Rodrigues,Flyweight,KO/TKO Punches,1.0,0:59,3,0,,0
9679,UFC 274: Oliveira vs. Gaethje,2022-05-07,"Phoenix, Arizona, USA",Kleydson Rodrigues,CJ Vergara,CJ Vergara,Flyweight,S-DEC,3.0,5:00,3,0,,0
9680,DWCS 9.10,2025-10-14,,Levi Rodrigues Jr.,Freddy Vidal,Levi Rodrigues Jr.,Unknown,KO/TKO Punches,1.0,3:20,3,0,,0
9681,EliteXC - Street Certified,2008-02-16,,Ricco Rodriguez,Antonio Silva,Antonio Silva,Unknown,S-DEC,3.0,5:00,3,0,,0
9682,IFL - 2007 Team Championship Final,2007-09-20,,Ricco Rodriguez,Ben Rothwell,Ben Rothwell,Unknown,U-DEC,3.0,4:00,3,0,,1
9683,WFA - King of the Streets,2006-07-22,,Ricco Rodriguez,Ron Waterman,Ricco Rodriguez,Unknown,KO/TKO,1.0,5:00,3,0,,0
9684,WEC 17: Halloween Fury 4,2005-10-14,,Ricco Rodriguez,Jimmy Ambriz,Ricco Rodriguez,Unknown,KO/TKO Punches,1.0,4:13,3,0,,0
9685,WEC 16: Clash of the Titans 2,2005-08-18,,Ricco Rodriguez,Ron Waterman,Ron Waterman,Unknown,U-DEC,3.0,5:00,3,0,,0
9686,UFC 34: High Voltage,2001-11-02,"Las Vegas, Nevada, USA",Ricco Rodriguez,Pete Williams,Ricco Rodriguez,Heavyweight,KO/TKO Punches,2.0,4:02,3,0,,0
